datetime,open,high,low,close,returns,log_ma_7,log_ma_14,log_ma_28,ema_crossover,macdh
2015-01-28,100.3000030517578,101.48999786376952,97.79000091552734,98.4499969482422,-0.04361769367277568,0.0021816935770973414,-0.002589945934374417,-0.0025210704291059242,0.9909266276153677,0.6157030768064891
2015-01-29,90.52999877929688,90.73999786376952,87.36000061035156,89.80999755859375,-0.08776028092911703,-0.014394411214421893,-0.010783495310424754,-0.006646473570083008,0.9618788234046196,-0.17766800074735478
2015-01-30,89.5999984741211,92.0,88.11000061035156,89.08000183105469,-0.008128223442638416,-0.020344730785044524,-0.009979676099816197,-0.007026495138784649,0.9449262626672681,-0.6923125496709144
2015-02-02,91.12999725341795,91.66000366210938,88.61000061035156,90.12999725341795,0.01178710598092092,-0.020265291596713773,-0.008301265065188091,-0.007199451639311438,0.9375017260460442,-0.8901053954708216
2015-02-03,91.6500015258789,91.6500015258789,89.9000015258789,90.61000061035156,0.005325678148907276,-0.018622234808153084,-0.007398214838629654,-0.006414964352296069,0.9359477298039346,-0.9132799361405963
2015-02-04,90.98999786376952,91.87999725341795,89.4800033569336,90.0,-0.006732155460132172,-0.02126171133005918,-0.007026375404242525,-0.005515195561989123,0.9356826522088355,-0.89327221538964
2015-02-05,89.58000183105469,89.83999633789062,86.0999984741211,87.0,-0.033333333333333326,-0.02478939246722638,-0.006875973894118358,-0.006775589208569551,0.9307378167722751,-0.9977357570462884
2015-02-06,87.11000061035156,87.4000015258789,85.41999816894531,85.68000030517578,-0.015172410285335891,-0.0203126091363979,-0.00834246642833928,-0.007298736210564857,0.9248392365593668,-1.0652515867987082
2015-02-09,85.83000183105469,86.75,85.47000122070312,86.0,0.0037348236891274755,-0.006141165110276591,-0.010547686604347746,-0.007246830293858083,0.9220082328902915,-0.9989811616111286
2015-02-10,87.01000213623047,87.47000122070312,86.5199966430664,87.26000213623047,0.014651187630586815,-0.0029469405455350975,-0.012180306593485048,-0.006753511688951447,0.9250567222828088,-0.7900644689587706
2015-02-11,87.58000183105469,87.69999694824219,85.81999969482422,86.0,-0.01443962990355363,-0.006719674564772979,-0.013856394648758808,-0.006596510394122443,0.9280819699593436,-0.6617116863648524
2015-02-12,85.5999984741211,88.30000305175781,85.55000305175781,87.0999984741211,0.012790679931640625,-0.005746628221047214,-0.012487927772693945,-0.006105680237215846,0.9314325778619637,-0.4384653664251106
2015-02-13,88.19999694824219,89.30000305175781,87.6500015258789,89.05000305175781,0.022388112649808,-0.0015610446498706266,-0.011795676595036452,-0.004445384775268656,0.9405225268098975,-0.11219980163898846
2015-02-17,88.77999877929688,88.98999786376953,86.69999694824219,86.8499984741211,-0.024705272344101137,-0.00024670694941606136,-0.012861222856561935,-0.006159389428501503,0.9457275377278033,-0.0030553130998054456
2015-02-18,87.0999984741211,87.43000030517578,86.5,86.73999786376953,-0.0012665585755230468,0.001742070807996266,-0.009465258504545783,-0.005789985661959795,0.9479271274878625,0.0976664909784759
2015-02-19,86.80999755859375,87.87000274658203,86.70999908447266,86.88999938964844,0.001729323605869748,0.0014603443268256082,-0.0023742729148099138,-0.0068679090262784084,0.9510074839683075,0.20419924343946771
2015-02-20,87.25,87.29000091552734,86.37999725341797,86.63999938964844,-0.002877201079020675,-0.001017098333358081,-0.001988317224921426,-0.006242349710749733,0.9537032377838561,0.282796988562807
2015-02-23,86.51000213623047,86.68000030517578,85.25,85.47000122070312,-0.013504134085729258,-0.0008702700554799088,-0.003808373244184655,-0.0061930868448201405,0.9540480682416443,0.2804087032024425
2015-02-24,85.52999877929688,85.52999877929688,83.87999725341797,84.69000244140625,-0.009125994713428676,-0.003966848319198723,-0.0048591184721291794,-0.006204583126840646,0.9524716910802207,0.25163488254229627
2015-02-25,84.37999725341797,86.83000183105469,84.36000061035156,86.19000244140625,0.01771165375792494,-0.004728064028732122,-0.0031397697305638526,-0.005196167310649477,0.9542455150651883,0.3527621595585333
2015-02-26,86.91999816894531,87.16000366210938,85.19999694824219,85.37000274658203,-0.00951386090726325,-0.0024554882997741183,-0.001346276458524921,-0.004265544028826298,0.9585929514914346,0.3811466921303319
2015-02-27,85.94999694824219,86.55999755859375,85.0,85.12000274658203,-0.0029284290963667026,-0.002694693895486852,-0.0004629418132161035,-0.004609574136504607,0.9609461271612187,0.3979568561358997
2015-03-02,85.0,85.0199966430664,83.75,84.0,-0.013157926579449142,-0.004825320274825724,-0.0016551225530245155,-0.006316275062987476,0.9599820531041049,0.3502026466069603
2015-03-03,82.94999694824219,83.25,80.02999877929688,81.58000183105469,-0.028809502011253763,-0.00850496336789333,-0.004715541150622206,-0.008613064417209798,0.9533109379359522,0.18072323964072545
2015-03-04,80.2699966430664,85.82599639892578,80.16999816894531,85.48999786376953,0.04792836412056123,3.3753595651354426e-05,-0.0004244941591240026,-0.007402568936770242,0.9532433780799489,0.3473867648039901
2015-03-05,85.75,86.2699966430664,84.01000213623047,86.0999984741211,0.007135344784118702,0.0023771534404982003,-0.0008328614211917258,-0.006851342831431082,0.9619357146144191,0.5046116270974759
2015-03-06,85.73999786376953,86.0,84.05000305175781,84.4000015258789,-0.019744448064690223,-0.003018782635862138,-0.003881945091409138,-0.007949124019041888,0.9669036532717663,0.49910977169371407
2015-03-09,84.3499984741211,84.3499984741211,81.4800033569336,82.52999877929688,-0.02215643024613745,-0.004808359446858003,-0.0036200041803177733,-0.008349627703110369,0.9654332687315846,0.3799154335146486
2015-03-10,81.08999633789062,83.1500015258789,80.6500015258789,82.97000122070312,0.00533142430527489,-0.0036555677910079195,-0.0031698650690274565,-0.006379605188821116,0.9619114859606128,0.3422624442702116
2015-03-11,83.0,83.37999725341797,81.19000244140625,81.98999786376953,-0.011811538417683676,-0.0034296607222288064,-0.004135063139249263,-0.0032383124776109826,0.9619898780834389,0.2662902867337098
2015-03-12,82.0999984741211,82.9000015258789,81.52999877929688,81.91999816894531,-0.0008537589541168789,0.0005809619293878919,-0.003999396261928958,-0.0029742284761635246,0.9622327945478327,0.22775038126638059
2015-03-13,81.80000305175781,81.91999816894531,80.7699966430664,81.86000061035156,-0.0007323920890478508,-0.006220188981513695,-0.0030696916481167567,-0.0034463594705262043,0.9618364402919547,0.21481183552090632
2015-03-16,82.01000213623047,85.19999694824219,81.94000244140625,84.0,0.02614218633877985,-0.0036162019079068147,-0.0005878039280875487,-0.0027631546741544435,0.9676427806510476,0.3585070520339184
2015-03-17,84.01000213623047,85.0999984741211,83.51000213623047,84.5,0.005952380952380931,0.00017249443665304546,-0.0014411518361932911,-0.0023049789278555993,0.9750193022132818,0.48736649573575397
2015-03-18,83.87000274658203,85.94999694824219,83.30000305175781,84.58999633789062,0.0010650454188239067,0.0035468314986153242,-0.000665852658629016,-0.0010116778765764344,0.9806582734677561,0.5728958567868498
